"Entity", "Language", "Synonyms"
"Fiction", "en", "Fiction, Fiction books, Novels, Fictional"
"Non-Fiction", "en", "Non-Fiction, Non-fiction, Nonfiction, Non Fiction, True stories"
"Science Fiction", "en", "Science Fiction, Sci-Fi, SF, Science fiction, SciFi"
"Mystery", "en", "Mystery, Mystery books, Detective stories, Crime fiction"
"Romance", "en", "Romance, Romance novels, Love stories, Romantic fiction"
"Fantasy", "en", "Fantasy, Fantasy books, Fantasy fiction, Magical"
"Biography", "en", "Biography, Biographies, Biographical, Life stories"
"History", "en", "History, Historical, History books, Historical non-fiction"
"Science", "en", "Science, Science books, Scientific, STEM"
"Literature", "en", "Literature, Literary fiction, Classic literature, Literary"
